model_feature_order,gene_symbol,max_abs_scale,elastic_net_coefficient,centroid_B_CONV,centroid_B_ASC
280,CA5B,3.0145464,0.9298501,0.07183643,0.05677828
281,ZRSR2,3.461483,-1.1532776,0.19133489,0.16560745
282,SCML1,2.9488075,0.69333744,0.021522585,0.008138315
283,SAT1,4.2541227,1.2115867,1.0653127,1.191045
284,RPGR,3.3112755,0.12127238,0.06785862,0.032162685
285,MID1IP1,3.0438876,-0.026588295,0.07821493,0.039915565
286,PIM2,3.5640335,1.9440548,0.22041856,0.7987193
287,SYP,2.563105,0.062296264,0.00410303,0.0065515926
288,TSPYL2,3.61893,-0.45723632,0.12575215,0.070867926
289,USP51,2.898817,-0.8373236,0.009790708,0.004867416
290,HMGN5,2.7567935,0.43699744,0.019323062,0.02483217
291,ZNF711,3.003556,-0.4968976,0.021810705,0.0068292664
292,ZMAT1,3.0163913,-1.8309901,0.075375155,0.0118682375
293,BEX2,3.6331663,-0.27722764,0.117675744,0.09661026
294,TCEAL4,3.1387522,-0.062436044,0.096177824,0.07936497
295,TCEAL3,3.1324384,0.5476721,0.0414484,0.045384537
296,MORF4L2-AS1,2.6588748,0.27747327,0.009598603,0.008310371
297,ZCCHC18,2.9522412,0.26607892,0.02408182,0.0056796214
298,TSC22D3,4.836282,-1.4569368,2.2676978,0.99347234
299,IL13RA1,2.876409,0.16145718,0.051099204,0.011641992
300,UPF3B,3.6847448,-0.59386814,0.13857117,0.16434094
301,SSR4,5.33111,5.1274853,0.7720518,2.910116
302,TMLHE,3.038826,0.4022825,0.042178504,0.033650786
303,MYOM2,3.1976187,0.5693185,0.011175548,0.020748315
304,ANGPT2,2.7363145,-0.39161772,0.027961677,0.018663336
305,AGPAT5,3.0454752,0.062357858,0.08853726,0.08590215
306,ADAM28,3.7096777,0.46502072,0.5144846,0.15371169
307,CLU,3.6159909,-0.14308499,0.051384468,0.043414705
308,PLEKHA2,3.673454,1.4333887,0.2315503,0.14373101
309,RB1CC1,3.5283816,1.3538787,0.15614218,0.19021365
310,SGK3,2.8407748,-0.34576645,0.020071464,0.020453237
311,ZBTB10,3.7000105,-1.6135656,0.09864637,0.023516964
312,CA2,2.9020646,0.04977304,0.017960126,0.023367139
313,TP53INP1,3.038826,-1.6716571,0.10614902,0.30275166
314,PLEKHF2,3.2123709,2.7640262,0.24351612,0.13593896
315,POP1,2.8407748,0.45946437,0.009603444,0.013651057
316,MTSS1,3.0874224,0.05502358,0.28947985,0.07868797
