metric,observed,threshold,pass,panel,record_type,replicate,reference_state,reference_cells,mapped_cells,intersection,union,false_negative,false_positive,jaccard,recall,analysis,effect_term,n_strata,reference_n,exposed_n,estimate_log_odds,odds_ratio,ci_low,ci_high,p_value,converged,hessian_positive_definite,n_samples,effect,se_hc3,statistic,df
Median mapped ARI,0.9629724043729124,0.95,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum mapped ARI,0.929696806592458,0.9,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median agreement,0.9993683510638296,0.995,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum agreement,0.9987699468085106,0.99,True,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minimum state
median Jaccard",0.9303233364573572,0.95,False,a,threshold_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,ifn_propagation,7.0,,,,,,,,,,primary_base,,,,,,,0.528771128376332,1.15109517618084,6.82484924390225e-07,,,89.0,0.839933152278587,0.156499042574734,5.3670178325691,85.0
,,,,e,ifn_propagation,8.0,,,,,,,,,,primary_base,,,,,,,0.524971050121816,1.14725191760299,7.53801739030117e-07,,,89.0,0.836111483862405,0.156488183795802,5.34296880174308,85.0
,,,,e,ifn_propagation,9.0,,,,,,,,,,primary_base,,,,,,,0.525780922617595,1.1479949804909,7.36763870988561e-07,,,89.0,0.836887951554248,0.156471382838642,5.34850485994154,85.0
,,,,e,ifn_propagation,10.0,,,,,,,,,,primary_base,,,,,,,0.528934880224679,1.15122609698225,6.79035913374064e-07,,,89.0,0.840080488603463,0.156490786381789,5.36824248907491,85.0
,,,,e,ifn_propagation,11.0,,,,,,,,,,primary_base,,,,,,,0.528798622792316,1.15099852348049,6.80089584168205e-07,,,89.0,0.839898573136401,0.156467822658174,5.36786771150562,85.0
,,,,e,ifn_propagation,12.0,,,,,,,,,,primary_base,,,,,,,0.528963410561583,1.15111016928182,6.76324169903333e-07,,,89.0,0.840036789921703,0.156454458773023,5.36920965058842,85.0
,,,,e,ifn_propagation,13.0,,,,,,,,,,primary_base,,,,,,,0.528832286155338,1.15104081100587,6.79616219464621e-07,,,89.0,0.839936548580603,0.156469991420826,5.36803601095364,85.0
,,,,e,ifn_propagation,14.0,,,,,,,,,,primary_base,,,,,,,0.528957229428602,1.15120927974899,6.78037724319681e-07,,,89.0,0.840083254588794,0.156480936995537,5.36859805877027,85.0
,,,,e,ifn_propagation,15.0,,,,,,,,,,primary_base,,,,,,,0.529049013853478,1.15120458466805,6.74928521387912e-07,,,89.0,0.840126799260764,0.156456674795899,5.36970890092562,85.0
,,,,e,ifn_propagation,16.0,,,,,,,,,,primary_base,,,,,,,0.525923117591465,1.14809177242076,7.33260015027679e-07,,,89.0,0.837007445006114,0.156459965100661,5.34965890135291,85.0
,,,,e,ifn_propagation,17.0,,,,,,,,,,primary_base,,,,,,,0.524976825056188,1.14722253304165,7.53097266933642e-07,,,89.0,0.836099679048919,0.156479342055816,5.34319526184281,85.0
,,,,e,ifn_propagation,18.0,,,,,,,,,,primary_base,,,,,,,0.528960131477681,1.15104521372134,6.75445380786754e-07,,,89.0,0.840002672599513,0.156438948670902,5.36952389245859,85.0
,,,,e,ifn_propagation,19.0,,,,,,,,,,primary_base,,,,,,,0.528874891783798,1.15111060108767,6.79265905268263e-07,,,89.0,0.839992746435735,0.156476827635715,5.36816063520457,85.0
,,,,e,ifn_propagation,20.0,,,,,,,,,,primary_base,,,,,,,0.52904865236415,1.15118843230655,6.7469533011906e-07,,,89.0,0.840118542335348,0.156452703783714,5.36979241660637,85.0
,,,,e,ifn_propagation,0.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.573468545179428,1.59901245700485,9.01319089523746e-05,,,54.0,1.08624050109214,0.255417464264537,4.25280434217729,51.0
,,,,e,ifn_propagation,1.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.573786537525995,1.59952550710077,8.98895189278765e-05,,,54.0,1.08665602231338,0.255466044491236,4.25362213783625,51.0
,,,,e,ifn_propagation,2.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.571929791831393,1.59787369207904,9.22017160765296e-05,,,54.0,1.08490174195522,0.25551708362492,4.24590687465646,51.0
,,,,e,ifn_propagation,3.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.571046639463373,1.59644752119545,9.28938149636943e-05,,,54.0,1.08374708032941,0.25538184181743,4.24363405251095,51.0
,,,,e,ifn_propagation,4.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.572268646713412,1.59776992933824,9.15086097598956e-05,,,54.0,1.08501928802582,0.255406847222991,4.24819968541609,51.0
,,,,e,ifn_propagation,5.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.573470953020874,1.59900390889421,9.01219930073367e-05,,,54.0,1.08623743095754,0.255414735623211,4.25283775545341,51.0
,,,,e,ifn_propagation,6.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.552164691033944,1.58806294264076,0.0001271504729685,,,54.0,1.07011381683735,0.257996270672143,4.14778792751322,51.0
,,,,e,ifn_propagation,7.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.570974438645815,1.59710622585378,9.34686441173117e-05,,,54.0,1.0840403322498,0.255563877926382,4.24175881601728,51.0
,,,,e,ifn_propagation,8.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.572807060600296,1.598560526114,9.10409197455678e-05,,,54.0,1.08568379335715,0.255469654786145,4.24975637230176,51.0
,,,,e,ifn_propagation,9.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.57236312458546,1.59770422597786,9.12920028240624e-05,,,54.0,1.08503367528166,0.255366953188482,4.24891968884014,51.0
,,,,e,ifn_propagation,10.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.551265767910417,1.58788001442235,0.0001292227868177,,,54.0,1.06957289116638,0.258174593219801,4.14282783533151,51.0
,,,,e,ifn_propagation,11.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.57118160456683,1.5976377084486,9.34365319322771e-05,,,54.0,1.08440965650772,0.255644650813323,4.2418632780217,51.0
,,,,e,ifn_propagation,12.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.572232676815071,1.59908508558168,9.24435424998841e-05,,,54.0,1.08565888119838,0.255743352768055,4.24511084822997,51.0
,,,,e,ifn_propagation,13.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.570593614779362,1.59658580634026,9.38340893904747e-05,,,54.0,1.08358971055981,0.255529110847387,4.24057246145618,51.0
,,,,e,ifn_propagation,14.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.571472214489956,1.59819935814086,9.32686610106971e-05,,,54.0,1.08483578631541,0.255712154788286,4.24240993633481,51.0
,,,,e,ifn_propagation,15.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.538174868988683,1.58046147416181,0.0001580815079243,,,54.0,1.05931817157525,0.259587325964774,4.08077770221725,51.0
,,,,e,ifn_propagation,16.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.552404837067336,1.58864994760474,0.0001270617451217,,,54.0,1.07052739233604,0.258082657834593,4.1480020444541,51.0
,,,,e,ifn_propagation,17.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.55069386905906,1.58708872445917,0.0001299674916002,,,54.0,1.06889129675911,0.258119952632677,4.14106420622285,51.0
,,,,e,ifn_propagation,18.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.571673625924381,1.59810888346394,9.28329332236349e-05,,,54.0,1.08489125469416,0.255639458914853,4.24383332408598,51.0
,,,,e,ifn_propagation,19.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.5509678607155,1.59051322769578,0.0001322769221296,,,54.0,1.07074054420564,0.258904605215237,4.13565661883647,51.0
,,,,e,ifn_propagation,20.0,,,,,,,,,,validation_nonoverlap,,,,,,,0.572286665600437,1.59786298662439,9.1536743339037e-05,,,54.0,1.08507482611241,0.255425535957239,4.24810629072759,51.0
