"branch","contrast","regulator","deleted_target","matched_targets_after_depletion","loo_slope","same_direction_as_depleted"
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IFNGR1",122,0.878761549051199,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IL1B",122,0.871967500842435,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IL2RA",122,0.876627953965209,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IL6",122,0.821003895914864,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IL6ST",122,0.870789511985057,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","INO80",122,0.868409165841746,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IRF1",122,0.871607725604005,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IRF2",122,0.877326859506438,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IRF8",122,0.860576116369883,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","IRF9",122,0.839339618257943,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","ISG20",122,0.842889555949464,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","ITGB1",122,0.867599589949551,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","JAK1",122,0.879050433973476,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","JUN",122,0.812721540665768,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","KDM6B",122,0.84675617958721,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","KIF2A",122,0.868069141532428,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","KLF4",122,0.855505224592097,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","LAP3",122,0.844907516801258,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","LAT",122,0.873777668653331,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","LGALS3",122,0.861774581825231,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","LY96",122,0.871808236505697,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MAP1LC3B",122,0.852270276949163,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MAPKAPK2",122,0.870688604960878,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MCL1",122,0.849824353501262,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MDM2",122,0.852060428205573,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MED16",122,0.885806017460142,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MED23",122,0.881577099218572,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MTMR9",122,0.882595218273513,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MVP",122,0.869343928988367,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","MYD88",122,0.859743907509358,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","NCL",122,0.891412425197414,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","NMI",122,0.838411730532568,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","NPAT",122,0.875795974466592,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PARK7",122,0.862590706002299,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PIK3R1",122,0.872552857633538,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PIM1",122,0.880123493818208,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PLSCR1",122,0.842230427386111,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PML",122,0.849529172688408,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","POMC",122,0.876192323783544,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PPIP5K2",122,0.870626007879079,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PRKCE",122,0.879423335125174,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PSMB9",122,0.852958102674352,TRUE
"frozen_ifn12_depleted","gse174188_internal_nonoverlap","STAT1","PTPN6",122,0.877390877326698,TRUE
