replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
5,0.8,1,32211,28239,0.7101391875070725,0.7792989972369687
5,0.8,2,22859,18516,0.683827120299528,0.7350715254385581
5,0.8,3,17704,21117,0.7378905900259647,0.9310325350203343
5,0.8,4,3761,0,0.0,0.0
5,0.8,5,1218,1323,0.678335535006605,0.8431855500821018
5,0.8,6,1047,1059,0.9774647887323944,0.994269340974212
6,0.4,0,76630,80575,0.925800247455011,0.9862194962808299
6,0.4,1,40149,38697,0.9102604482132041,0.935789185284814
6,0.4,2,1517,0,0.0,0.0
6,0.4,3,1042,1048,0.981042654028436,0.9932821497120922
6,0.4,4,982,0,0.0,0.0
6,0.6,0,43120,43857,0.6704180990608616,0.8095547309833024
6,0.6,1,38877,37542,0.8763258691809075,0.9180492321938422
6,0.6,2,32853,37867,0.7087078380206823,0.8928256171430311
6,0.6,3,3348,0,0.0,0.0
6,0.6,4,1074,0,0.0,0.0
6,0.6,5,1048,1054,0.9792843691148776,0.9923664122137404
6,0.8,0,41563,38750,0.5674193485431019,0.6995163967952265
6,0.8,1,32096,41772,0.6273710647485184,0.8872445164506481
6,0.8,2,22849,28463,0.6129255335868984,0.8533852685019038
6,0.8,3,17724,9002,0.46878434820839743,0.48126833671857366
6,0.8,4,3827,0,0.0,0.0
6,0.8,5,1205,1277,0.6907356948228883,0.84149377593361
6,0.8,6,1056,1056,0.9756782039289055,0.9876893939393939
7,0.4,0,76610,77739,0.9361389864525841,0.9741417569507898
7,0.4,1,40166,40471,0.9156866937495546,0.9596175870138923
7,0.4,2,1505,0,0.0,0.0
7,0.4,3,1034,1053,0.9763257575757576,0.9970986460348162
7,0.4,4,1005,1057,0.745977984758679,0.8766169154228856
7,0.6,0,43184,38138,0.6821181094218637,0.7636393108558726
7,0.6,1,38970,40215,0.901885432929026,0.9635617141390813
7,0.6,2,32729,39650,0.7034761938384052,0.9132573558617739
7,0.6,3,3295,0,0.0,0.0
7,0.6,4,1101,1249,0.7066085693536674,0.8837420526793823
7,0.6,5,1041,1068,0.9728718428437793,0.9990393852065321
7,0.8,0,41668,38886,0.671487560434088,0.7766391475472785
7,0.8,1,31939,30284,0.6840695030854174,0.7913522652556436
7,0.8,2,22963,35150,0.5575299509528021,0.9058920872708269
7,0.8,3,17660,7531,0.3929223113077136,0.40237825594563986
7,0.8,4,3791,7390,0.42669388796733443,0.8820891585333686
7,0.8,5,1247,0,0.0,0.0
7,0.8,6,1052,1079,0.9622467771639043,0.9933460076045627
8,0.4,0,76609,76481,0.9290574596774194,0.9624195590596405
8,0.4,1,40170,39419,0.9014956039755352,0.9393328354493403
8,0.4,2,1500,3372,0.4262295081967213,0.9706666666666667
8,0.4,3,1052,1048,0.9848771266540642,0.9904942965779467
8,0.4,4,989,0,0.0,0.0
8,0.6,0,43170,38270,0.753320846519839,0.8105397266620338
8,0.6,1,38978,38061,0.9064812294290876,0.9397608907588896
8,0.6,2,32702,37175,0.7383203144435047,0.907559170692924
8,0.6,3,3333,4500,0.631875,0.90999099909991
8,0.6,4,1083,1227,0.6972814107274063,0.876269621421976
8,0.6,5,1054,1087,0.958828911253431,0.9943074003795066
8,0.8,0,41601,39621,0.7637402010814097,0.8454364077786591
8,0.8,1,31967,33135,0.7367480325463519,0.8639221697375419
8,0.8,2,22884,4894,0.20847472374488818,0.20940395035832896
8,0.8,3,17760,34037,0.47674982181040626,0.941554054054054
8,0.8,4,3823,6115,0.5326958667489204,0.9034789432382946
8,0.8,5,1224,1422,0.6821360457724094,0.8766339869281046
8,0.8,6,1061,1096,0.9538043478260869,0.9924599434495759
9,0.4,0,76667,79020,0.9382135076252723,0.9829783348768049
9,0.4,1,40153,39159,0.9160727659266059,0.9443628122431699
9,0.4,2,1476,0,0.0,0.0
9,0.4,3,1029,1038,0.9798850574712644,0.9941690962099126
9,0.4,4,995,1103,0.7353184449958643,0.893467336683417
9,0.6,0,43066,46725,0.72198143602332,0.8741698787906933
9,0.6,1,38916,39227,0.9047189587091113,0.9537722273614966
