gene_index,gene_id,feature_name,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg
ENSG00000187231,ENSG00000187231,SESTD1,6446,True,0.24697897958900758,1.8121140130834847,0.53689873,85,False,False,False,False,False,False,False,False
ENSG00000185950,ENSG00000185950,IRS2,4338,True,0.17520664569894515,1.812694334874016,0.5262343,85,False,False,False,False,False,False,False,False
ENSG00000133302,ENSG00000133302,SLF1,5428,True,0.2136385415512632,1.8154468678709115,0.52361685,85,False,False,False,False,False,False,False,False
ENSG00000230438,ENSG00000230438,SERPINB9P1,2340,True,0.09714449605857232,1.8116691961829086,0.5214231,85,False,False,False,False,False,False,False,False
ENSG00000225331,ENSG00000225331,LINC01678,3862,True,0.15080449177853675,1.8112878547523026,0.5155137,85,False,False,False,False,False,False,False,False
ENSG00000165029,ENSG00000165029,ABCA1,1846,True,0.07344226053622525,1.8090720397062483,0.5072642,85,False,False,False,False,False,False,False,False
ENSG00000197381,ENSG00000197381,ADARB1,4739,True,0.1876084877001437,1.809025846132308,0.49975735,85,False,False,False,False,False,False,False,False
ENSG00000221968,ENSG00000221968,FADS3,3912,True,0.15634947723147433,1.8043601609230775,0.48474348,85,False,False,False,False,False,False,False,False
ENSG00000121413,ENSG00000121413,ZSCAN18,4946,True,0.18911452577961743,1.7964660064897415,0.4497581,85,False,False,False,False,False,False,False,False
ENSG00000142197,ENSG00000142197,DOP1B,5795,True,0.24220752825461644,2.3349375533114975,3.3553348,84,False,False,False,False,False,False,False,False
ENSG00000150093,ENSG00000150093,ITGB1,14442,True,0.5652910536879099,2.0981221677719257,3.3533638,84,False,False,False,False,False,False,False,False
ENSG00000166794,ENSG00000166794,PPIB,30915,True,0.9678186193240983,2.1972791896380333,2.9092138,84,False,False,False,False,False,False,False,False
ENSG00000048462,ENSG00000048462,TNFRSF17,2966,True,0.155289822649783,2.177564080343195,2.160149,84,False,False,False,False,False,False,False,False
