replicate,resolution,reference_cluster,reference_cells,mapped_cells,jaccard,recall
13,0.6,2,32785,25546,0.6061181783137838,0.6714351075186823
13,0.6,3,3350,0,0.0,0.0
13,0.6,4,1096,1049,0.7904841402337228,0.8640510948905109
13,0.6,5,1026,1036,0.9846005774783445,0.9970760233918129
13,0.8,0,41647,44270,0.7731663020596855,0.8995365812663577
13,0.8,1,32034,29640,0.716265479337693,0.8034900418305551
13,0.8,2,22850,21185,0.7885865150284321,0.849671772428884
13,0.8,3,17674,19243,0.8239624505928854,0.9435894534344235
13,0.8,4,3852,3770,0.687029659141213,0.8058151609553479
13,0.8,5,1225,1172,0.756043956043956,0.8424489795918367
13,0.8,6,1038,1040,0.982824427480916,0.9922928709055877
14,0.4,0,76714,75870,0.9523005271508266,0.9702010063352191
14,0.4,1,40043,39894,0.9305189943729321,0.9622156182104238
14,0.4,2,1514,2521,0.5694282380396732,0.9669749009247027
14,0.4,3,1029,1040,0.9875120076849183,0.9990281827016521
14,0.4,4,1020,995,0.8251811594202898,0.8931372549019608
14,0.6,0,43098,40147,0.7223934948583725,0.8101071975497703
14,0.6,1,38862,39292,0.9184074228626132,0.962765683701302
14,0.6,2,32903,38702,0.7387450828031664,0.924626933714251
14,0.6,3,3313,0,0.0,0.0
14,0.6,4,1112,1135,0.7790973871733967,0.8848920863309353
14,0.6,5,1032,1044,0.9866028708133971,0.999031007751938
14,0.8,0,41548,41607,0.8214575164830351,0.9026186579378068
14,0.8,1,32144,31913,0.7968302945301543,0.8837419113987058
14,0.8,2,22768,23132,0.8155209239775334,0.9055692199578356
14,0.8,3,17776,17183,0.8361783707127475,0.8955895589558955
14,0.8,4,3794,4204,0.6645161290322581,0.8415919873484449
14,0.8,5,1247,1230,0.7781765972720747,0.8692862870890137
14,0.8,6,1043,1051,0.9848341232227488,0.9961649089165868
15,0.4,0,76638,76172,0.9528184943323408,0.9728724653566116
15,0.4,1,40129,39435,0.9248578686343293,0.9526526950584365
15,0.4,2,1506,2752,0.5250716332378224,0.9734395750332006
15,0.4,3,1046,1045,0.9914285714285714,0.9952198852772467
15,0.4,4,1001,916,0.8050847457627118,0.8541458541458542
15,0.6,0,43105,77009,0.5254702244122988,0.9598654448439856
15,0.6,1,38927,41213,0.8987371762977705,0.9744650242762093
15,0.6,2,32815,0,0.0,0.0
15,0.6,3,3338,0,0.0,0.0
15,0.6,4,1085,1040,0.7605633802816901,0.8460829493087557
15,0.6,5,1050,1058,0.9868049010367578,0.9971428571428571
15,0.8,0,41558,46468,0.7214769038213322,0.8877231820588094
15,0.8,1,32072,32950,0.7476683241499799,0.8673297580444
15,0.8,2,22849,15980,0.6201702411749979,0.6504879863451355
15,0.8,3,17729,23842,0.6809267720674457,0.9498561678605675
15,0.8,4,3833,0,0.0,0.0
15,0.8,5,1216,0,0.0,0.0
15,0.8,6,1063,1080,0.9642529789184234,0.9896519285042333
16,0.4,0,76466,77909,0.9472369732211556,0.9820835403970392
16,0.4,1,40323,40417,0.9323648373740516,0.966123552315056
16,0.4,2,1491,0,0.0,0.0
16,0.4,3,1023,1024,0.9912451361867705,0.9960899315738025
16,0.4,4,1017,970,0.8330258302583026,0.887905604719764
16,0.6,0,43017,44502,0.8240725302209254,0.9191482437176001
16,0.6,1,39095,39458,0.9231503696812418,0.9644967387133905
16,0.6,2,32726,31956,0.7890194993776795,0.8716922324757074
16,0.6,3,3345,2335,0.6228571428571429,0.6517189835575485
16,0.6,4,1109,1038,0.8087615838247684,0.8656447249774571
16,0.6,5,1028,1031,0.9932236205227493,0.9980544747081712
16,0.8,0,41494,42971,0.8200133594776875,0.9171446474189039
16,0.8,1,31940,30967,0.7868261091859342,0.8672824045084534
16,0.8,2,23046,26920,0.7469407733724914,0.9270155341490931
16,0.8,3,17732,13513,0.7065377683106668,0.7295285359801489
16,0.8,4,3819,3700,0.6802234636871508,0.7970672951034302
16,0.8,5,1253,1206,0.7754512635379062,0.8571428571428571
16,0.8,6,1036,1043,0.9894736842105263,0.9980694980694981
17,0.4,0,76614,78733,0.9443895112334939,0.9848330592319942
17,0.4,1,40154,39597,0.9260270002656555,0.9549235443542362
17,0.4,2,1489,0,0.0,0.0
17,0.4,3,1064,1068,0.9925233644859813,0.9981203007518797
17,0.4,4,999,922,0.7919776119402985,0.8498498498498499
17,0.6,0,43082,42122,0.7129530970426811,0.8231512000371385
