replicate,resolution,reference_cluster,mapped_reference_cluster,n_cells,fraction_of_reference_cluster
5,0.6,2,4,50,0.0015162542455118874
5,0.6,2,5,2,6.0650169820475496e-05
5,0.6,3,0,215,0.0654490106544901
5,0.6,3,1,279,0.08493150684931507
5,0.6,3,2,2,0.0006088280060882801
5,0.6,3,3,2787,0.8484018264840183
5,0.6,3,4,2,0.0006088280060882801
5,0.6,4,0,78,0.07228915662650602
5,0.6,4,1,58,0.05375347544022243
5,0.6,4,3,3,0.0027803521779425394
5,0.6,4,4,940,0.871177015755329
5,0.6,5,0,2,0.0019286403085824494
5,0.6,5,1,2,0.0019286403085824494
5,0.6,5,5,1033,0.996142719382835
5,0.8,0,0,37467,0.9023843930635839
5,0.8,0,1,2533,0.061006743737957614
5,0.8,0,2,498,0.01199421965317919
5,0.8,0,3,660,0.015895953757225433
5,0.8,0,4,289,0.0069605009633911365
5,0.8,0,5,73,0.001758188824662813
5,0.8,1,0,2919,0.09062121635466146
5,0.8,1,1,27406,0.8508273571140293
5,0.8,1,2,1452,0.045077768464189254
5,0.8,1,3,148,0.0045947036726584085
5,0.8,1,4,250,0.007761323771382447
5,0.8,1,5,35,0.0010865853279935426
5,0.8,1,6,1,3.104529508552979e-05
5,0.8,2,0,595,0.026029135132770463
5,0.8,2,1,533,0.02331685550549018
5,0.8,2,2,12370,0.5411435320880178
5,0.8,2,3,9203,0.40259853886871694
5,0.8,2,4,124,0.005424559254560567
5,0.8,2,5,34,0.0014873791504440264
5,0.8,3,0,239,0.013499774062358789
5,0.8,3,1,228,0.012878445549028467
5,0.8,3,2,301,0.017001807501129687
5,0.8,3,3,16699,0.9432331676457297
5,0.8,3,4,197,0.01112742882964302
5,0.8,3,5,12,0.0006778129236330773
5,0.8,3,6,28,0.0015815634884771804
5,0.8,4,0,352,0.09359212975272534
5,0.8,4,1,193,0.0513161393246477
5,0.8,4,2,52,0.013826110077107153
5,0.8,4,3,60,0.015953203935123637
5,0.8,4,4,3100,0.8242488699813879
5,0.8,4,5,4,0.0010635469290082426
5,0.8,5,0,76,0.06239737274220033
5,0.8,5,1,46,0.03776683087027915
5,0.8,5,2,20,0.016420361247947456
5,0.8,5,3,35,0.028735632183908046
5,0.8,5,4,4,0.003284072249589491
5,0.8,5,5,1037,0.8513957307060755
5,0.8,6,1,2,0.0019102196752626551
5,0.8,6,2,2,0.0019102196752626551
