contrast,regulator,replicate,sampled_targets,slope,positive,same_direction_as_full
gse174188_primary,IRF7,72,4,2.094541089109236,True,True
gse174188_primary,IRF7,73,4,1.0460891298222137,True,True
gse174188_primary,IRF7,74,4,1.0460891298222137,True,True
gse174188_primary,IRF7,75,4,0.6230912444590498,True,True
gse174188_primary,IRF7,76,4,0.0662827931518453,True,True
gse174188_primary,IRF7,77,4,1.0460891298222137,True,True
gse174188_primary,IRF7,78,4,2.2232665908626776,True,True
gse174188_primary,IRF7,79,4,1.0460891298222137,True,True
gse174188_primary,IRF7,80,4,2.094541089109236,True,True
gse174188_primary,IRF7,81,4,2.094541089109236,True,True
gse174188_primary,IRF7,82,4,2.2232665908626776,True,True
gse174188_primary,IRF7,83,4,0.0662827931518453,True,True
gse174188_primary,IRF7,84,4,2.2232665908626776,True,True
gse174188_primary,IRF7,85,4,1.0460891298222137,True,True
gse174188_primary,IRF7,86,4,1.0460891298222137,True,True
gse174188_primary,IRF7,87,4,2.2232665908626776,True,True
gse174188_primary,IRF7,88,4,0.6230912444590498,True,True
gse174188_primary,IRF7,89,4,1.0460891298222137,True,True
gse174188_primary,IRF7,90,4,0.0662827931518453,True,True
gse174188_primary,IRF7,91,4,2.2232665908626776,True,True
gse174188_primary,IRF7,92,4,2.094541089109236,True,True
gse174188_primary,IRF7,93,4,2.094541089109236,True,True
gse174188_primary,IRF7,94,4,2.094541089109236,True,True
gse174188_primary,IRF7,95,4,1.0460891298222137,True,True
gse174188_primary,IRF7,96,4,0.0662827931518453,True,True
gse174188_primary,IRF7,97,4,2.2232665908626776,True,True
gse174188_primary,IRF7,98,4,2.094541089109236,True,True
gse174188_primary,IRF7,99,4,1.0460891298222137,True,True
gse174188_primary,IRF7,100,4,0.6230912444590498,True,True
gse174188_primary,IRF9,1,6,3.426113070208791,True,True
gse174188_primary,IRF9,2,6,4.127265093761926,True,True
gse174188_primary,IRF9,3,6,3.6464184210600594,True,True
gse174188_primary,IRF9,4,6,3.6464184210600594,True,True
gse174188_primary,IRF9,5,6,3.426113070208791,True,True
gse174188_primary,IRF9,6,6,4.127265093761926,True,True
gse174188_primary,IRF9,7,6,3.141400825502749,True,True
gse174188_primary,IRF9,8,6,3.141400825502749,True,True
gse174188_primary,IRF9,9,6,3.426113070208791,True,True
gse174188_primary,IRF9,10,6,4.127265093761926,True,True
gse174188_primary,IRF9,11,6,3.141400825502749,True,True
gse174188_primary,IRF9,12,6,4.127265093761926,True,True
gse174188_primary,IRF9,13,6,3.097312659167539,True,True
gse174188_primary,IRF9,14,6,3.426113070208791,True,True
gse174188_primary,IRF9,15,6,3.426113070208791,True,True
gse174188_primary,IRF9,16,6,3.141400825502749,True,True
gse174188_primary,IRF9,17,6,3.141400825502749,True,True
gse174188_primary,IRF9,18,6,3.141400825502749,True,True
gse174188_primary,IRF9,19,6,3.141400825502749,True,True
gse174188_primary,IRF9,20,6,3.141400825502749,True,True
gse174188_primary,IRF9,21,6,3.141400825502749,True,True
gse174188_primary,IRF9,22,6,3.8051229462881326,True,True
gse174188_primary,IRF9,23,6,3.141400825502749,True,True
gse174188_primary,IRF9,24,6,3.097312659167539,True,True
gse174188_primary,IRF9,25,6,3.097312659167539,True,True
gse174188_primary,IRF9,26,6,3.141400825502749,True,True
gse174188_primary,IRF9,27,6,3.141400825502749,True,True
gse174188_primary,IRF9,28,6,3.8051229462881326,True,True
gse174188_primary,IRF9,29,6,3.097312659167539,True,True
gse174188_primary,IRF9,30,6,2.875566930853049,True,True
gse174188_primary,IRF9,31,6,3.426113070208791,True,True
gse174188_primary,IRF9,32,6,2.875566930853049,True,True
gse174188_primary,IRF9,33,6,4.127265093761926,True,True
gse174188_primary,IRF9,34,6,3.6464184210600594,True,True
gse174188_primary,IRF9,35,6,3.6464184210600594,True,True
gse174188_primary,IRF9,36,6,2.875566930853049,True,True
gse174188_primary,IRF9,37,6,3.141400825502749,True,True
gse174188_primary,IRF9,38,6,3.141400825502749,True,True
gse174188_primary,IRF9,39,6,3.097312659167539,True,True
gse174188_primary,IRF9,40,6,3.8051229462881326,True,True
gse174188_primary,IRF9,41,6,3.426113070208791,True,True
gse174188_primary,IRF9,42,6,2.875566930853049,True,True
gse174188_primary,IRF9,43,6,4.127265093761926,True,True
gse174188_primary,IRF9,44,6,3.141400825502749,True,True
gse174188_primary,IRF9,45,6,3.141400825502749,True,True
gse174188_primary,IRF9,46,6,3.097312659167539,True,True
gse174188_primary,IRF9,47,6,2.875566930853049,True,True
gse174188_primary,IRF9,48,6,3.6464184210600594,True,True
gse174188_primary,IRF9,49,6,2.875566930853049,True,True
gse174188_primary,IRF9,50,6,4.127265093761926,True,True
gse174188_primary,IRF9,51,6,3.097312659167539,True,True
gse174188_primary,IRF9,52,6,3.6464184210600594,True,True
gse174188_primary,IRF9,53,6,3.8051229462881326,True,True
gse174188_primary,IRF9,54,6,3.097312659167539,True,True
gse174188_primary,IRF9,55,6,2.875566930853049,True,True
gse174188_primary,IRF9,56,6,3.426113070208791,True,True
gse174188_primary,IRF9,57,6,3.6464184210600594,True,True
gse174188_primary,IRF9,58,6,2.875566930853049,True,True
gse174188_primary,IRF9,59,6,3.6464184210600594,True,True
gse174188_primary,IRF9,60,6,4.127265093761926,True,True
gse174188_primary,IRF9,61,6,3.097312659167539,True,True
gse174188_primary,IRF9,62,6,3.6464184210600594,True,True
gse174188_primary,IRF9,63,6,4.127265093761926,True,True
gse174188_primary,IRF9,64,6,3.6464184210600594,True,True
gse174188_primary,IRF9,65,6,3.426113070208791,True,True
gse174188_primary,IRF9,66,6,3.097312659167539,True,True
gse174188_primary,IRF9,67,6,4.127265093761926,True,True
gse174188_primary,IRF9,68,6,4.127265093761926,True,True
gse174188_primary,IRF9,69,6,3.6464184210600594,True,True
gse174188_primary,IRF9,70,6,3.097312659167539,True,True
gse174188_primary,IRF9,71,6,2.875566930853049,True,True
gse174188_primary,IRF9,72,6,3.141400825502749,True,True
gse174188_primary,IRF9,73,6,3.097312659167539,True,True
gse174188_primary,IRF9,74,6,2.875566930853049,True,True
gse174188_primary,IRF9,75,6,3.097312659167539,True,True
gse174188_primary,IRF9,76,6,3.426113070208791,True,True
gse174188_primary,IRF9,77,6,2.875566930853049,True,True
gse174188_primary,IRF9,78,6,3.426113070208791,True,True
gse174188_primary,IRF9,79,6,3.6464184210600594,True,True
gse174188_primary,IRF9,80,6,3.097312659167539,True,True
gse174188_primary,IRF9,81,6,2.875566930853049,True,True
gse174188_primary,IRF9,82,6,3.8051229462881326,True,True
gse174188_primary,IRF9,83,6,3.8051229462881326,True,True
gse174188_primary,IRF9,84,6,3.6464184210600594,True,True
gse174188_primary,IRF9,85,6,3.6464184210600594,True,True
gse174188_primary,IRF9,86,6,3.6464184210600594,True,True
gse174188_primary,IRF9,87,6,4.127265093761926,True,True
