resolution,cluster,module,n_cells,n_genes,mean_module_log_expression,fraction_any_gene_detected
1.2,5,platelet,14108,4,0.09990212321281433,0.18719875248086193
1.2,5,erythroid,14108,3,0.1038552075624466,0.12666572157641054
1.2,6,B_identity,6758,7,1.888893961906433,0.9997040544539805
1.2,6,naive,6758,4,0.622670590877533,0.7124889020420243
1.2,6,memory,6758,5,0.2882746160030365,0.5458715596330275
1.2,6,atypical,6758,5,0.09599589556455612,0.22713820656999112
1.2,6,plasmablast,6758,6,0.16265788674354553,0.39952648712636873
1.2,6,interferon,6758,6,0.14317956566810608,0.3486238532110092
1.2,6,T_NK,6758,4,0.19379383325576782,0.3387096774193548
1.2,6,myeloid,6758,5,0.51448655128479,0.7497780408404854
1.2,6,platelet,6758,4,0.5551750063896179,0.7395679195028115
1.2,6,erythroid,6758,3,0.10266668349504471,0.12725658478839894
1.2,7,B_identity,1360,7,1.1365351676940918,0.9977941176470588
1.2,7,naive,1360,4,0.11085048317909241,0.29191176470588237
1.2,7,memory,1360,5,0.588170051574707,0.9264705882352942
1.2,7,atypical,1360,5,0.0965031236410141,0.3845588235294118
1.2,7,plasmablast,1360,6,2.211778163909912,0.9911764705882353
1.2,7,interferon,1360,6,0.554565966129303,0.8360294117647059
1.2,7,T_NK,1360,4,0.4079122245311737,0.7389705882352942
1.2,7,myeloid,1360,5,0.7890253067016602,0.9536764705882353
1.2,7,platelet,1360,4,0.1288568526506424,0.3426470588235294
1.2,7,erythroid,1360,3,0.28347986936569214,0.4279411764705882
1.2,8,B_identity,502,7,1.979927897453308,1.0
1.2,8,naive,502,4,0.5923117995262146,0.7250996015936255
1.2,8,memory,502,5,0.2929803431034088,0.5956175298804781
1.2,8,atypical,502,5,0.08970072120428085,0.20916334661354583
1.2,8,plasmablast,502,6,0.19177263975143433,0.448207171314741
1.2,8,interferon,502,6,0.11821022629737854,0.31274900398406374
1.2,8,T_NK,502,4,0.20092244446277618,0.350597609561753
1.2,8,myeloid,502,5,0.522551417350769,0.7390438247011952
1.2,8,platelet,502,4,0.11695928126573563,0.22709163346613545
1.2,8,erythroid,502,3,0.11452321708202362,0.14143426294820718
1.2,9,B_identity,4,7,1.4811058044433594,1.0
1.2,9,naive,4,4,0.5969587564468384,0.5
1.2,9,memory,4,5,0.22824473679065704,0.5
1.2,9,atypical,4,5,0.22409355640411377,0.5
1.2,9,plasmablast,4,6,0.36308586597442627,1.0
1.2,9,interferon,4,6,0.21405386924743652,0.5
1.2,9,T_NK,4,4,0.11575885862112045,0.25
1.2,9,myeloid,4,5,0.8942755460739136,1.0
1.2,9,platelet,4,4,0.0,0.0
1.2,9,erythroid,4,3,0.43153223395347595,0.5
1.2,10,B_identity,3,7,1.5705496072769165,1.0
1.2,10,naive,3,4,0.0,0.0
1.2,10,memory,3,5,0.43598678708076477,0.6666666666666666
1.2,10,atypical,3,5,0.0,0.0
1.2,10,plasmablast,3,6,0.10446182638406754,0.3333333333333333
1.2,10,interferon,3,6,0.11923705041408539,0.3333333333333333
1.2,10,T_NK,3,4,0.0,0.0
1.2,10,myeloid,3,5,0.9388197064399719,0.6666666666666666
1.2,10,platelet,3,4,0.0,0.0
1.2,10,erythroid,3,3,0.23847410082817078,0.3333333333333333
