var_name,gene_id,feature_name,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm,is_mitochondrial,is_ribosomal,is_hemoglobin,is_stress,is_cell_cycle,is_immunoglobulin,is_strong_isg,hvg_primary,hvg_isg_excluded,hvg_union
ENSG00000049249,ENSG00000049249,TNFRSF9,False,5,0.0006252311625276831,0.2978730848715272,-0.36809435,False,False,False,False,False,False,False,False,False,False
ENSG00000116288,ENSG00000116288,PARK7,False,7,0.9471613493554827,1.7098528972825286,-0.6026863,False,False,False,False,False,False,False,False,False,False
ENSG00000116285,ENSG00000116285,ERRFI1,False,23,0.0030319779704309994,1.003136667076417,-0.0917769,False,False,False,False,False,False,False,False,False,False
ENSG00000162426,ENSG00000162426,SLC45A1,False,6,0.0011735615154614962,0.5232996102435057,-0.63785946,False,False,False,False,False,False,False,False,False,False
ENSG00000142599,ENSG00000142599,RERE,True,69,0.38617973837217207,1.7897928773618756,0.40796924,False,False,False,False,False,False,False,True,True,True
ENSG00000232912,ENSG00000232912,RERE-AS1,False,31,0.007343228415868313,1.3822754234692212,-0.038881477,False,False,False,False,False,False,False,False,False,False
ENSG00000074800,ENSG00000074800,ENO1,False,3,0.9211064095005104,1.7065907114722343,-0.591991,False,False,False,False,False,False,False,False,False,False
ENSG00000230679,ENSG00000230679,ENO1-AS1,True,55,0.02010997468798069,1.7557225153078193,0.26605108,False,False,False,False,False,False,False,False,False,False
ENSG00000131686,ENSG00000131686,CA6,False,10,0.0011684910984317675,0.49113392966491864,-0.4356633,False,False,False,False,False,False,False,False,False,False
ENSG00000142583,ENSG00000142583,SLC2A5,True,57,0.025340477755818925,1.7146687501277105,0.24833165,False,False,False,False,False,False,False,False,False,False
ENSG00000180758,ENSG00000180758,GPR157,True,44,0.011022013228722063,1.4507140842265447,0.126402,False,False,False,False,False,False,False,False,False,False
ENSG00000049239,ENSG00000049239,H6PD,True,70,0.05579711080399132,1.7717082196701568,0.3543217,False,False,False,False,False,False,False,True,True,True
ENSG00000171621,ENSG00000171621,SPSB1,False,19,0.007026993407828529,1.3053874405774517,-0.93155533,False,False,False,False,False,False,False,False,False,False
ENSG00000171612,ENSG00000171612,SLC25A33,False,35,0.10789533265168393,1.7000334933915975,0.03750085,False,False,False,False,False,False,False,False,False,False
ENSG00000188807,ENSG00000188807,TMEM201,False,21,0.006056405201679587,1.3035557608688106,-0.43903232,False,False,False,False,False,False,False,False,False,False
ENSG00000171608,ENSG00000171608,PIK3CD,True,49,0.10919917166275141,1.7427601107266477,0.22116719,False,False,False,False,False,False,False,False,False,False
ENSG00000179840,ENSG00000179840,PIK3CD-AS1,False,25,0.005196795556056516,1.1187770048898775,-0.23675872,False,False,False,False,False,False,False,False,False,False
ENSG00000231789,ENSG00000231789,PIK3CD-AS2,False,19,0.012616288702341738,1.506036751581796,-0.5986802,False,False,False,False,False,False,False,False,False,False
ENSG00000171603,ENSG00000171603,CLSTN1,True,50,0.16041006068925293,1.7328634121542026,0.17126265,False,False,False,False,False,False,False,False,False,False
