resolution,cluster,gene,n_cells,mean_log_normalized_expression,fraction_detected
0.6,1,OAS1,48676,0.12096528708934784,0.07699893171172652
0.6,1,CD3D,48676,0.14908786118030548,0.09542690442928753
0.6,1,CD3E,48676,0.09088137000799179,0.06142657572520339
0.6,1,NKG7,48676,0.32551541924476624,0.19833182677294767
0.6,1,GNLY,48676,0.36534711718559265,0.22156709672117675
0.6,1,LYZ,48676,0.6815921664237976,0.3854260826690772
0.6,1,LST1,48676,0.32989001274108887,0.20040677130413345
0.6,1,TYROBP,48676,0.37682920694351196,0.22929164269866054
0.6,1,FCER1G,48676,0.24120211601257324,0.14884131810337745
0.6,1,S100A8,48676,0.9587221145629883,0.5073136658722984
0.6,1,PPBP,48676,0.1693132370710373,0.09873448927602925
0.6,1,PF4,48676,0.1172286719083786,0.06917166570794642
0.6,1,GNG11,48676,0.11450094729661942,0.0685348015449092
0.6,1,RGS18,48676,0.04546626657247543,0.02689210288437834
0.6,1,HBA1,48676,0.047174613922834396,0.02763168707371189
0.6,1,HBA2,48676,0.1145000085234642,0.06500123264031556
0.6,1,HBB,48676,0.20416805148124695,0.10672610732188348
0.6,2,CD79A,41032,2.543179988861084,0.9140670696042114
0.6,2,CD79B,41032,1.9198272228240967,0.7798303762916748
0.6,2,MS4A1,41032,1.8281967639923096,0.7640378241372587
0.6,2,CD19,41032,0.3162202835083008,0.17793429518424644
0.6,2,CD22,41032,0.6399816274642944,0.3362984987326964
0.6,2,CD37,41032,2.728208303451538,0.9393643985182297
0.6,2,CD74,41032,4.372891426086426,0.9997319165529343
0.6,2,TCL1A,41032,1.6632169485092163,0.691070384090466
0.6,2,IL4R,41032,0.4838576912879944,0.2501218561123026
0.6,2,FCER2,41032,0.6445388197898865,0.33525053616689415
0.6,2,CCR7,41032,0.28403499722480774,0.15409923961785923
0.6,2,CD27,41032,0.030969906598329544,0.018863326184441413
0.6,2,AIM2,41032,0.011714371852576733,0.007384480405537142
0.6,2,GPR183,41032,0.3575688302516937,0.18853577695457205
0.6,2,TNFRSF13B,41032,0.04019642993807793,0.025053616689413142
0.6,2,BANK1,41032,0.9078938961029053,0.45859329303957885
0.6,2,FCRL3,41032,0.10115617513656616,0.05724800155975824
0.6,2,FCRL5,41032,0.23784545063972473,0.12843634236693313
0.6,2,ITGAX,41032,0.014395315200090408,0.008505556638720999
0.6,2,TBX21,41032,0.010848077945411205,0.00670208617664262
0.6,2,ZEB2,41032,0.24440206587314606,0.13613764866445702
0.6,2,MZB1,41032,0.39139410853385925,0.21127412751023592
0.6,2,JCHAIN,41032,0.6917750835418701,0.33473874049522323
0.6,2,XBP1,41032,0.12796615064144135,0.07352797816338467
0.6,2,SDC1,41032,0.00010981976083712652,4.8742444921037236e-05
0.6,2,TNFRSF17,41032,0.026978300884366035,0.015646324819652953
0.6,2,DERL3,41032,0.0775490328669548,0.04425813998830181
0.6,2,IFI6,41032,0.48981884121894836,0.24841587054006628
0.6,2,IFIT1,41032,0.0393734872341156,0.02183661532462468
0.6,2,IFIT3,41032,0.10178438574075699,0.054225969974653926
0.6,2,ISG15,41032,0.668059766292572,0.3216270228114642
0.6,2,MX1,41032,0.35115745663642883,0.18570871514915188
0.6,2,OAS1,41032,0.16822640597820282,0.09329303957886527
0.6,2,CD3D,41032,0.14180003106594086,0.08113179957106649
0.6,2,CD3E,41032,0.08490448445081711,0.05037531682589199
0.6,2,NKG7,41032,0.31722795963287354,0.17596022616494444
0.6,2,GNLY,41032,0.3408389389514923,0.1878046402807565
0.6,2,LYZ,41032,0.721606969833374,0.37314778709300056
0.6,2,LST1,41032,0.40713736414909363,0.22153441216611425
0.6,2,TYROBP,41032,0.3855682611465454,0.21105478650809126
0.6,2,FCER1G,41032,0.250825434923172,0.14086566582179763
0.6,2,S100A8,41032,0.9568147659301758,0.47287482940144276
0.6,2,PPBP,41032,0.19045667350292206,0.10116494443361279
0.6,2,PF4,41032,0.13584300875663757,0.07233378826281926
0.6,2,GNG11,41032,0.08337868005037308,0.04628095145252486
0.6,2,RGS18,41032,0.05154546722769737,0.027831936049912263
0.6,2,HBA1,41032,0.04693521931767464,0.025662897250926107
0.6,2,HBA2,41032,0.10975432395935059,0.05880775979723143
0.6,2,HBB,41032,0.19326667487621307,0.09675375316825892
0.6,3,CD79A,4161,2.251523971557617,0.8502763758711848
0.6,3,CD79B,4161,1.6351532936096191,0.6916606584955539
0.6,3,MS4A1,4161,1.6904323101043701,0.7180966113914924
0.6,3,CD19,4161,0.2733858525753021,0.14924297043979812
0.6,3,CD22,4161,0.5473411679267883,0.28478731074260993
0.6,3,CD37,4161,2.5802109241485596,0.9144436433549628
0.6,3,CD74,4161,4.256637096405029,0.9990386926219659
0.6,3,TCL1A,4161,1.0438597202301025,0.45469838981014177
0.6,3,IL4R,4161,0.46785202622413635,0.23239605863975005
0.6,3,FCER2,4161,0.6054284572601318,0.30305215092525833
0.6,3,CCR7,4161,0.28890037536621094,0.15404950732996875
0.6,3,CD27,4161,0.07288068532943726,0.04349915885604422
0.6,3,AIM2,4161,0.055286508053541183,0.033886085075702954
0.6,3,GPR183,4161,0.4058188199996948,0.20427781783225185
0.6,3,TNFRSF13B,4161,0.09169823676347733,0.05455419370343667
0.6,3,BANK1,4161,0.9275882840156555,0.4534967555875991
0.6,3,FCRL3,4161,0.10684368759393692,0.058399423215573176
0.6,3,FCRL5,4161,0.1514379233121872,0.08050949291035808
0.6,3,ITGAX,4161,0.013003816828131676,0.007690459024273011
0.6,3,TBX21,4161,0.011089282110333443,0.006488824801730353
0.6,3,ZEB2,4161,0.19423818588256836,0.10550348473924537
0.6,3,MZB1,4161,0.2192269116640091,0.11968276856524873
0.6,3,JCHAIN,4161,0.5825294256210327,0.26820475847152125
0.6,3,XBP1,4161,0.10229285061359406,0.05719778899303052
0.6,3,SDC1,4161,0.0,0.0
0.6,3,TNFRSF17,4161,0.0214570052921772,0.011776015380918048
0.6,3,DERL3,4161,0.05883894860744476,0.03364575823119442
0.6,3,IFI6,4161,0.255655437707901,0.13338139870223503
0.6,3,IFIT1,4161,0.008043020963668823,0.004806536890170632
0.6,3,IFIT3,4161,0.029129376634955406,0.016101898582071617
0.6,3,ISG15,4161,0.3679381012916565,0.18817591925018023
0.6,3,MX1,4161,0.16799978911876678,0.08988223984619081
0.6,3,OAS1,4161,0.08446251600980759,0.04686373467916366
0.6,3,CD3D,4161,0.11986616998910904,0.06657053592886325
0.6,3,CD3E,4161,0.07652895897626877,0.044460466234078344
0.6,3,NKG7,4161,0.2673608362674713,0.1422734919490507
0.6,3,GNLY,4161,0.3052155077457428,0.1651045421773612
0.6,3,LYZ,4161,0.658134937286377,0.3338139870223504
0.6,3,LST1,4161,0.32648560404777527,0.17471761595770247
0.6,3,TYROBP,4161,0.3753269910812378,0.19826964671953856
0.6,3,FCER1G,4161,0.2767159044742584,0.14635904830569574
0.6,3,S100A8,4161,0.9290869235992432,0.44604662340783463
0.6,3,PPBP,4161,0.9041386842727661,0.43258832011535686
