pseudobulk_row,representation,sample_id,accession,frozen_compartment,source_label,cell_count,library_size_umi,detected_genes
272,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC6,10,23133,3846
273,source_label,JB18065,GSM4029918,B_CONV_ANALOG,B-caSC7,5,11275,2362
274,source_label,JB18065,GSM4029918,B_ASC_CONTROL,PC-caSC0,0,0,0
275,source_label,JB18065,GSM4029918,B_ASC_CONTROL,PC-caSC1,10,92745,7207
276,compartment,JB18066,GSM4029919,B_CONV_ANALOG,,370,1213538,13789
277,compartment,JB18066,GSM4029919,B_ASC_CONTROL,,7,53794,5988
278,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC0,50,150228,8827
279,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC1,4,14770,2961
280,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC2,28,92581,7661
281,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC3,92,252510,10301
282,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC4,6,17137,3448
283,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC5,173,635719,12265
284,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC6,13,38175,5128
285,source_label,JB18066,GSM4029919,B_CONV_ANALOG,B-caSC7,4,12418,2652
286,source_label,JB18066,GSM4029919,B_ASC_CONTROL,PC-caSC0,3,21567,3966
287,source_label,JB18066,GSM4029919,B_ASC_CONTROL,PC-caSC1,4,32227,4570
288,compartment,JB18067,GSM4029920,B_CONV_ANALOG,,309,845072,12417
289,compartment,JB18067,GSM4029920,B_ASC_CONTROL,,1,7455,2069
290,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC0,7,16880,2958
291,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC1,180,451970,10973
292,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC2,77,264873,9766
293,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC3,1,1332,519
294,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC4,24,56166,5579
295,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC5,1,4551,1273
296,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC6,17,44546,5039
297,source_label,JB18067,GSM4029920,B_CONV_ANALOG,B-caSC7,2,4754,1226
298,source_label,JB18067,GSM4029920,B_ASC_CONTROL,PC-caSC0,0,0,0
