contrast,regulator,deleted_target,slope,same_direction_as_full
gse174188_primary,STAT1,MED23,1.3080050906548946,True
gse174188_primary,STAT1,MTMR9,1.3070736350348315,True
gse174188_primary,STAT1,MVP,1.3013587802438538,True
gse174188_primary,STAT1,MX1,1.2294384394608326,True
gse174188_primary,STAT1,NCL,1.283713245948825,True
gse174188_primary,STAT1,NMI,1.2479565583795469,True
gse174188_primary,STAT1,NPAT,1.300403623476075,True
gse174188_primary,STAT1,OAS1,1.2414127477135228,True
gse174188_primary,STAT1,PARK7,1.2772266278219406,True
gse174188_primary,STAT1,PIK3R1,1.295921472540812,True
gse174188_primary,STAT1,PLSCR1,1.2383764403783073,True
gse174188_primary,STAT1,PPIP5K2,1.3175612932092744,True
gse174188_primary,STAT1,PSMB9,1.2473664192335918,True
gse174188_primary,STAT1,PTPN6,1.2890739814760068,True
gse174188_primary,STAT1,RB1,1.2968154411652584,True
gse174188_primary,STAT1,RC3H1,1.2800593662884376,True
gse174188_primary,STAT1,RHOA,1.3005330036219747,True
gse174188_primary,STAT1,RUNX3,1.3177890352789061,True
gse174188_primary,STAT1,S100A10,1.3209437569596474,True
gse174188_primary,STAT1,SEMA4B,1.2884831944846702,True
gse174188_primary,STAT1,SMAD3,1.2907741112580706,True
gse174188_primary,STAT1,SNRNP27,1.2982105020729804,True
gse174188_primary,STAT1,SOCS1,1.2650221293131827,True
gse174188_primary,STAT1,SOCS3,1.3208846334164093,True
gse174188_primary,STAT1,STAT3,1.291882330610933,True
gse174188_primary,STAT1,TAP1,1.2705376562466362,True
gse174188_primary,STAT1,TIMP1,1.3078438887272115,True
gse174188_primary,STAT1,TNFSF10,1.2616812489920786,True
gse174188_primary,STAT1,TP53,1.2957027420160887,True
gse174188_primary,STAT1,VIM,1.2885109331648343,True
gse174188_primary,STAT1,XAF1,1.236415621524198,True
gse174188_primary,STAT1,ZC3HAV1,1.3153064798569722,True
gse174188_primary,STAT1,ZFP36,1.3281432851691994,True
gse174188_primary,STAT1,ZNF302,1.2996367498717123,True
gse174188_primary,STAT1,ZNF655,1.3042347751488859,True
gse174188_primary,STAT2,CREBBP,2.460848395733072,True
gse174188_primary,STAT2,EIF2AK2,1.8493562016383152,True
gse174188_primary,STAT2,HLA-E,2.183215271790436,True
gse174188_primary,STAT2,IFIT3,1.822241928122545,True
gse174188_primary,STAT2,IRF1,2.4548319272505736,True
gse174188_primary,STAT2,IRF7,1.9447677174936941,True
gse174188_primary,STAT2,IRF9,1.999557796796969,True
gse174188_primary,STAT2,JUN,2.4105463793501944,True
gse174188_primary,STAT2,JUND,2.651266155475584,True
gse174188_primary,STAT2,MCL1,2.4297332251492794,True
gse174188_primary,STAT2,NFKB2,2.2648793141950514,True
gse174188_primary,STAT2,OAS1,1.9244469928198653,True
gse174188_primary,STAT2,SAMHD1,2.288209710785201,True
gse174188_primary,STAT2,STAT1,1.8686313872077531,True
gse174188_primary,IRF7,ATF4,2.094014691154108,True
gse174188_primary,IRF7,ISG15,0.06759441812010442,True
gse174188_primary,IRF7,PMAIP1,2.222623540889649,True
gse174188_primary,IRF7,TAP2,1.0465128469185467,True
gse174188_primary,IRF7,TNFSF10,0.623898285420687,True
gse174188_primary,IRF9,CDKN1A,4.127120345758684,True
gse174188_primary,IRF9,CDKN1B,3.8054160897404508,True
gse174188_primary,IRF9,IFIT3,2.877123630284663,True
gse174188_primary,IRF9,IRF7,3.1425961739221515,True
gse174188_primary,IRF9,OAS1,3.098567937128857,True
gse174188_primary,IRF9,SP100,3.6469272933640693,True
gse174188_primary,IRF9,TNFSF10,3.4269214060617608,True
gse174188_internal_nonoverlap,STAT1,ACAT1,1.1066573558355326,True
gse174188_internal_nonoverlap,STAT1,ADAR,1.0688365047191966,True
gse174188_internal_nonoverlap,STAT1,AIM2,1.108372226119754,True
gse174188_internal_nonoverlap,STAT1,APP,1.1033923664582261,True
gse174188_internal_nonoverlap,STAT1,ATG4C,1.0937354540077049,True
gse174188_internal_nonoverlap,STAT1,BAX,1.098277815436986,True
gse174188_internal_nonoverlap,STAT1,BIRC2,1.0952200179075327,True
gse174188_internal_nonoverlap,STAT1,BRD8,1.0970664966281531,True
gse174188_internal_nonoverlap,STAT1,BST2,1.0601578217056975,True
gse174188_internal_nonoverlap,STAT1,CASP2,1.1042540573680675,True
gse174188_internal_nonoverlap,STAT1,CASP4,1.087540017817166,True
gse174188_internal_nonoverlap,STAT1,CASP8,1.1087576459528972,True
gse174188_internal_nonoverlap,STAT1,CD14,1.0918569215451783,True
gse174188_internal_nonoverlap,STAT1,CD200,1.0792428506478329,True
gse174188_internal_nonoverlap,STAT1,CD22,1.0975585311635336,True
gse174188_internal_nonoverlap,STAT1,CD40,1.1098722559281162,True
gse174188_internal_nonoverlap,STAT1,CD69,1.138984721518947,True
gse174188_internal_nonoverlap,STAT1,CD79A,1.0949757924626484,True
gse174188_internal_nonoverlap,STAT1,CD86,1.1024652993726742,True
gse174188_internal_nonoverlap,STAT1,CDKN1A,1.0787860892020007,True
gse174188_internal_nonoverlap,STAT1,CDKN1B,1.0707492637356242,True
gse174188_internal_nonoverlap,STAT1,CIITA,1.093466654276952,True
gse174188_internal_nonoverlap,STAT1,CLU,1.0958615949859207,True
